,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
0,5s,15s,20d,6s,14n,10s,14n,10s
1,USGS,02085070,2018-11-04 00:00,EDT,64.6,P,1.91,P
2,USGS,02085070,2018-11-04 00:15,EDT,63.3,P,1.90,P
3,USGS,02085070,2018-11-04 00:30,EDT,63.3,P,1.90,P
4,USGS,02085070,2018-11-04 00:45,EDT,63.3,P,1.90,P
5,USGS,02085070,2018-11-04 01:00,EDT,63.3,P,1.90,P
6,USGS,02085070,2018-11-04 01:00,EST,63.3,P,1.90,P
7,USGS,02085070,2018-11-04 01:15,EDT,63.3,P,1.90,P
8,USGS,02085070,2018-11-04 01:15,EST,63.3,P,1.90,P
9,USGS,02085070,2018-11-04 01:30,EDT,63.3,P,1.90,P
10,USGS,02085070,2018-11-04 01:30,EST,63.3,P,1.90,P
11,USGS,02085070,2018-11-04 01:45,EDT,63.3,P,1.90,P
12,USGS,02085070,2018-11-04 01:45,EST,63.3,P,1.90,P
13,USGS,02085070,2018-11-04 02:00,EST,63.3,P,1.90,P
14,USGS,02085070,2018-11-04 02:15,EST,63.3,P,1.90,P
15,USGS,02085070,2018-11-04 02:30,EST,63.3,P,1.90,P
16,USGS,02085070,2018-11-04 02:45,EST,63.3,P,1.90,P
17,USGS,02085070,2018-11-04 03:00,EST,63.3,P,1.90,P
18,USGS,02085070,2018-11-04 03:15,EST,63.3,P,1.90,P
19,USGS,02085070,2018-11-04 03:30,EST,63.3,P,1.90,P
20,USGS,02085070,2018-11-04 03:45,EST,63.3,P,1.90,P
21,USGS,02085070,2018-11-04 04:00,EST,63.3,P,1.90,P
22,USGS,02085070,2018-11-04 04:15,EST,63.3,P,1.90,P
23,USGS,02085070,2018-11-04 04:30,EST,63.3,P,1.90,P
24,USGS,02085070,2018-11-04 04:45,EST,63.3,P,1.90,P
25,USGS,02085070,2018-11-04 05:00,EST,63.3,P,1.90,P
26,USGS,02085070,2018-11-04 05:15,EST,63.3,P,1.90,P
27,USGS,02085070,2018-11-04 05:30,EST,63.3,P,1.90,P
28,USGS,02085070,2018-11-04 05:45,EST,62.0,P,1.89,P
29,USGS,02085070,2018-11-04 06:00,EST,62.0,P,1.89,P
30,USGS,02085070,2018-11-04 06:15,EST,63.3,P,1.90,P
31,USGS,02085070,2018-11-04 06:30,EST,62.0,P,1.89,P
32,USGS,02085070,2018-11-04 06:45,EST,62.0,P,1.89,P
33,USGS,02085070,2018-11-04 07:00,EST,62.0,P,1.89,P
34,USGS,02085070,2018-11-04 07:15,EST,62.0,P,1.89,P
35,USGS,02085070,2018-11-04 07:30,EST,62.0,P,1.89,P
36,USGS,02085070,2018-11-04 07:45,EST,62.0,P,1.89,P
37,USGS,02085070,2018-11-04 08:00,EST,62.0,P,1.89,P
38,USGS,02085070,2018-11-04 08:15,EST,62.0,P,1.89,P
39,USGS,02085070,2018-11-04 08:30,EST,62.0,P,1.89,P
40,USGS,02085070,2018-11-04 08:45,EST,62.0,P,1.89,P
41,USGS,02085070,2018-11-04 09:00,EST,62.0,P,1.89,P
42,USGS,02085070,2018-11-04 09:15,EST,62.0,P,1.89,P
43,USGS,02085070,2018-11-04 09:30,EST,62.0,P,1.89,P
44,USGS,02085070,2018-11-04 09:45,EST,62.0,P,1.89,P
45,USGS,02085070,2018-11-04 10:00,EST,62.0,P,1.89,P
46,USGS,02085070,2018-11-04 10:15,EST,62.0,P,1.89,P
47,USGS,02085070,2018-11-04 10:30,EST,62.0,P,1.89,P
48,USGS,02085070,2018-11-04 10:45,EST,62.0,P,1.89,P
49,USGS,02085070,2018-11-04 11:00,EST,62.0,P,1.89,P
50,USGS,02085070,2018-11-04 11:15,EST,62.0,P,1.89,P
51,USGS,02085070,2018-11-04 11:30,EST,62.0,P,1.89,P
52,USGS,02085070,2018-11-04 11:45,EST,62.0,P,1.89,P
53,USGS,02085070,2018-11-04 12:00,EST,62.0,P,1.89,P
54,USGS,02085070,2018-11-04 12:15,EST,62.0,P,1.89,P
55,USGS,02085070,2018-11-04 12:30,EST,62.0,P,1.89,P
56,USGS,02085070,2018-11-04 12:45,EST,62.0,P,1.89,P
57,USGS,02085070,2018-11-04 13:00,EST,62.0,P,1.89,P
58,USGS,02085070,2018-11-04 13:15,EST,62.0,P,1.89,P
59,USGS,02085070,2018-11-04 13:30,EST,62.0,P,1.89,P
60,USGS,02085070,2018-11-04 13:45,EST,62.0,P,1.89,P
61,USGS,02085070,2018-11-04 14:00,EST,62.0,P,1.89,P
62,USGS,02085070,2018-11-04 14:15,EST,62.0,P,1.89,P
63,USGS,02085070,2018-11-04 14:30,EST,62.0,P,1.89,P
64,USGS,02085070,2018-11-04 14:45,EST,62.0,P,1.89,P
65,USGS,02085070,2018-11-04 15:00,EST,62.0,P,1.89,P
66,USGS,02085070,2018-11-04 15:15,EST,62.0,P,1.89,P
67,USGS,02085070,2018-11-04 15:30,EST,62.0,P,1.89,P
68,USGS,02085070,2018-11-04 15:45,EST,62.0,P,1.89,P
69,USGS,02085070,2018-11-04 16:00,EST,62.0,P,1.89,P
70,USGS,02085070,2018-11-04 16:15,EST,62.0,P,1.89,P
71,USGS,02085070,2018-11-04 16:30,EST,62.0,P,1.89,P
